#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   114.8    37.4    5.68   -1.84    0.18    0.24  0  C023
   116.6    36.9    7.19   -2.70    0.35    0.18  0  C026
   116.2    36.3    1.31   -1.90    0.54    0.44  0  C027
   114.7    36.4    7.01    0.06    0.35    0.22  0  C030
   114.2    36.7    6.40   -2.34    0.37    0.28  0  C031
   116.1    35.8    4.91   -1.47    0.28    0.16  0  C035
   115.8    36.1    4.96    2.26    0.41    0.67  0  C036
   114.5    35.6    5.45   -2.20    0.15    0.19  0  C038
   113.8    35.5    5.64   -2.30    0.27    0.29  0  C040
   113.8    36.0    5.74   -0.97    0.26    0.26  0  C041
   113.4    36.2    5.85   -1.27    0.27    0.21  0  C042
   115.4    35.3    4.17   -1.62    0.27    0.25  0  C044
   115.1    35.3    6.30   -2.08    0.31    0.19  0  C045
   114.2    35.2    6.29   -2.85    0.29    0.32  0  C046
   113.2    35.3    5.78   -1.12    0.27    0.19  0  C047
   115.6    34.4    5.57   -1.05    0.38    0.71  0  C049
   114.4    34.8    7.05   -3.50    0.78    0.23  0  C050
   112.0    34.1    5.74   -1.93    0.16    0.24  0  C055
   114.3    33.0    6.18   -0.81    0.17    0.28  0  C056
   112.4    33.5    3.99   -0.88    0.26    0.38  0  C057
   115.8    32.9    5.50   -1.97    0.46    0.25  0  C058
   113.3    32.8    6.96   -0.09    0.33    0.23  0  C059
   111.5    33.3    2.42   -3.98    0.50    0.29  0  C060
   115.9    31.7    5.50   -2.10    0.41    0.58  0  C061
